K= 0 ,loss mean is: 5309.429724392897
K= 1 ,loss mean is: 735.937195920586
K= 2 ,loss mean is: 503.8817540661756
K= 3 ,loss mean is: 495.4640361780364
K= 4 ,loss mean is: 482.4905856553445
K= 5 ,loss mean is: 481.32184898934196
K= 6 ,loss mean is: 491.59196203508014
K= 7 ,loss mean is: 503.0155394898087
K= 8 ,loss mean is: 509.7643037643916
K= 9 ,loss mean is: 512.8367854412921
K= 10 ,loss mean is: 522.8975603700393
K= 11 ,loss mean is: 529.4429540747607
K= 12 ,loss mean is: 538.9459887489404
K= 13 ,loss mean is: 545.5778485675087
K= 14 ,loss mean is: 556.0500095304415
K= 15 ,loss mean is: 563.8069228798429
K= 16 ,loss mean is: 569.9321180574333
K= 17 ,loss mean is: 574.92927007235
K= 18 ,loss mean is: 581.8225596516598
K= 19 ,loss mean is: 582.3623206629619
K= 20 ,loss mean is: 586.8163363209561
K= 21 ,loss mean is: 590.4952530634552
K= 22 ,loss mean is: 596.945858705402
K= 23 ,loss mean is: 602.8656114156679
K= 24 ,loss mean is: 609.1984932954282
K= 25 ,loss mean is: 614.0794904108994
K= 26 ,loss mean is: 618.8416189445188
K= 27 ,loss mean is: 621.9849113232019
K= 28 ,loss mean is: 627.5030324899246
K= 29 ,loss mean is: 632.3451661431664
K= 30 ,loss mean is: 638.73689550725
K= 31 ,loss mean is: 644.0119222522953
K= 32 ,loss mean is: 649.5946623452643
K= 33 ,loss mean is: 654.5770241105738
K= 34 ,loss mean is: 657.6004064171292
K= 35 ,loss mean is: 661.2175202675371
K= 36 ,loss mean is: 664.9634737644358
K= 37 ,loss mean is: 668.808172897896
K= 38 ,loss mean is: 673.6703119174878
K= 39 ,loss mean is: 677.4479014921976

